SL#,Model,Capacity (kW),Series,List_2024,List_2025,COGS_2024,COGS_2025,Gross_Profit_at_Base,Margin_%_at_Base,Disc_15%,Disc_20%,Disc_25%,Disc_30%,Disc_35%
214,FR-D720-7.5K (31.8A),7.5,D,63000.0,,,,,,53550.0,50400.0,47250.0,44100.0,40950.0
215,FR-D720-7.5K / FR-D820-7.5K-318-60 (31.8A),7.5,D,,80700.0,,,,,68595.0,64560.0,60525.0,56490.0,52455.0
216,FR-D740-7.5K (16A),7.5,D,63000.0,,,,,,53550.0,50400.0,47250.0,44100.0,40950.0
217,FR-D740-7.5K / FR-D840-7.5K-160-NA (16.0A),7.5,D,,70100.0,,,,,59585.0,56080.0,52575.0,49070.0,45565.0
218,FR-D820-7.5K-318-60,7.5,D,,,,51676.3,,,,,,,
219,FR-D840-7.5K-163-60,7.5,D,,,,44818.3,,,,,,,
220,432 || MITSUBISHI VFD || FR-E840-7.5K-1,7.5,E,,,1251675.09,,,,,,,,
221,FR-E720-7.5K / FR-E820-330-5-60 (33.0A),7.5,E,,81000.0,,,,,68850.0,64800.0,60750.0,56700.0,52650.0
222,FR-E740-7.5K / FR-E840-170-5-60 (17.0A),7.5,E,,75250.0,,,,,63962.5,60200.0,56437.5,52675.0,48912.5
223,FR-E820-7.5K-1,7.5,E,,,,51879.5,,,,,,,
224,FR-E820-7.5K-1 (33A),7.5,E,73000.0,,,,,,62050.0,58400.0,54750.0,51100.0,47450.0
225,FR-E840-7.5K-1,7.5,E,,,,48171.1,,,,,,,
226,FR-E840-7.5K-1 (17A),7.5,E,79500.0,,,,,,67575.0,63600.0,59625.0,55650.0,51675.0
227,FR-E840-7.5K-1-60,7.5,E,,,,50596.8,,,,,,,
228,FR-F820-7.5K-1,7.5,F,,,,74396.6,,,,,,,
229,FR-F820-7.5K-1 (31.0A),7.5,F,,116200.0,,,,,98770.0,92960.0,87150.0,81340.0,75530.0
230,FR-F820-7.5K-1 (34A),7.5,F,82000.0,,,,,,69700.0,65600.0,61500.0,57400.0,53300.0
231,FR-F840-7.5K-1,7.5,F,,,,83451.7,,,,,,,
232,FR-F840-7.5K-1 (16.0A),7.5,F,,130400.0,,,,,110840.0,104320.0,97800.0,91280.0,84760.0
233,FR-F840-7.5K-1 (17A),7.5,F,99500.0,,,,,,84575.0,79600.0,74625.0,69650.0,64675.0
234,FR-F840-7.5K-E1,7.5,F,,,,88646.0,,,,,,,
235,434 || MITSUBISHI VFD || FR-A840-7.5K-1,7.5,A,,,200707.82,,,,,,,,
236,FR-A820-7.5K-1,7.5,A,,,,88823.8,,,,,,,
237,FR-A820-7.5K-1 (33.0A),7.5,A,,138800.0,,,,,117980.0,111040.0,104100.0,97160.0,90220.0
238,FR-A820-7.5K-1 (49A),7.5,A,100000.0,,,,,,85000.0,80000.0,75000.0,70000.0,65000.0
239,FR-A840-7.5K-1,7.5,A,,,,92087.7,,,,,,,
240,FR-A840-7.5K-1 (17.0A),7.5,A,,143800.0,,,,,122230.0,115040.0,107850.0,100660.0,93470.0
241,FR-A840-7.5K-1 (25A),7.5,A,110000.0,,,,,,93500.0,88000.0,82500.0,77000.0,71500.0
242,FR-A840-7.5K-1-R2R,7.5,A,,,,94856.3,,,,,,,
243,FR-D720-11K,11.0,D,,,,87731.6,,,,,,,
244,FR-D720-11K (45.0A),11.0,D,,137000.0,,,,,116450.0,109600.0,102750.0,95900.0,89050.0
245,FR-D720-11K (45A),11.0,D,94500.0,,,,,,80325.0,75600.0,70875.0,66150.0,61425.0
246,FR-D740-11K,11.0,D,,,,92964.0,,,,,,,
247,FR-D740-11K (23.0A),11.0,D,,121200.0,,,,,103020.0,96960.0,90900.0,84840.0,78780.0
248,FR-D740-11K (23A),11.0,D,98000.0,,,,,,83300.0,78400.0,73500.0,68600.0,63700.0
249,437 || MITSUBISHI VFD || FR-E840-11K-1,11.0,E,,,883027.87,,,,,,,,
250,FR-E720-11K / FR-E820-470-5-60 (47.0A),11.0,E,,143600.0,,,,,122060.0,114880.0,107700.0,100520.0,93340.0
251,FR-E740-11K / FR-E840-230-5-60 (23.0A),11.0,E,,123800.0,,,,,105230.0,99040.0,92850.0,86660.0,80470.0
252,FR-E820-11K-1,11.0,E,,,,91948.0,,,,,,,
253,FR-E820-11K-1 (47A),11.0,E,98000.0,,,,,,83300.0,78400.0,73500.0,68600.0,63700.0
254,FR-E840-11K-1,11.0,E,,,,77330.3,,,,,,,
255,FR-E840-11K-1 (23A),11.0,E,101000.0,,,,,,85850.0,80800.0,75750.0,70700.0,65650.0
256,FR-E840-11K-1-60,11.0,E,,,,92798.9,,,,,,,
257,FR-F820-11K-1,11.0,F,,,,76847.7,,,,,,,
258,FR-F820-11K-1 (45.0A),11.0,F,,120100.0,,,,,102085.0,96080.0,90075.0,84070.0,78065.0
259,FR-F820-11K-1 (49A),11.0,F,102500.0,,,,,,87125.0,82000.0,76875.0,71750.0,66625.0
260,FR-F840-11K-1,11.0,F,,,,92443.3,,,,,,,
261,FR-F840-11K-1 (23.0A),11.0,F,,144400.0,,,,,122740.0,115520.0,108300.0,101080.0,93860.0
