Model Name,COGS
FR-HEL-H30K,"27,597.10"
FR-HEL-H37K,"31,089.60"
FR-HEL-H45K,"36,487.10"
FR-HEL-H55K,"39,484.30"
FR-HEL-H355K,"1,74,891.70"
FR-HEL-N280K,"1,79,298.60"
FR-HEL-N315K,"1,94,233.80"
FR-HEL-N355K,"2,32,930.70"
FR-HAL-H280K,"2,39,179.10"
FR-HAL-H355K,"3,61,340.40"
FR-HAL-H560K,"7,11,860.40"
FR-HAL-H0.4K,"10,883.90"
FR-HAL-H0.75K,"11,010.90"
FR-HAL-H1.5K,"11,201.40"
FR-HAL-H2.2K,"11,366.50"
FR-HAL-H3.7K,"13,855.70"
FR-HAL-H5.5K,"17,564.10"
FR-HAL-H7.5K,"18,796.00"
FR-HAL-H11K,"23,914.10"
FR-HAL-H15K,"30,378.40"
FR-HAL-H18.5K,"34,163.00"
FR-HAL-H22K,"38,074.60"
FR-HAL-H30K,"41,554.40"
FR-HAL-H37K,"43,649.90"
FR-HAL-H45K,"54,495.70"
FR-HAL-H55K,"56,883.30"
FR-HAL-H75K,"75,831.70"
FR-HAL-H110K,"1,15,773.20"
FR-HAL-H185K,"2,01,218.80"
FR-CC2-H315K-60,"8,78,814.60"
FR-CC2-H355K-60,"11,07,478.10"
FR-CC2-H450K-60,"14,21,549.10"
FR-CC2-H500K-60,"14,73,758.80"
FR-CC2-H400K-60,"12,50,276.90"
FR-CC2-H630K-60,"18,23,681.90"
